hash,message,added_lines,label,notes
0499fcbbe93a9f729b3ab237335111563c9213bb,Merge pull request #53 from ThunderSon/master,,0,Noise / Non-knowledge
d961a1e68d7c73a87b0bebc8f23c71d7e934b81a,chore: refresh list of vulnapps (#658),"+- [OWASP Juice Shop](https://owasp-juice.shop)
+- [OWASP WebGoat](https://owasp.org/www-project-webgoat/)
+- [Xtreme Vulnerable Web Application](https://github.com/s4n7h0/xvwa)",0,Noise / Non-knowledge
eb64fca80939d10d1e5a6fbff5117ddc5ef90e1f,Minor - Linkify DDo$ (#399),+**[Distributed Denial of Dollar (DDo$)](https://news.hitb.org/content/pirate-bay-proposes-distributed-denial-dollars-attack-ddo):**,0,Noise / Non-knowledge
50a560e76edca28ac6a7768c22b46eff23c7b811,Change content to align left inside the code blocks in PDF (#440),"+	text-align: left;
+	text-align: left;",0,Noise / Non-knowledge
99c3994a0a9ecfe1c4f9da6011230b54570949b1,Fix Linter Checkouts (#1334),"+This workflow:
+- Checks out the **base branch** into `base/` (used for config and for relative link resolution)
+- Checks out the **PR head** into the workspace root (for the ""Get Changed Files"" step and as the source of changed content)
+- Uses inline `git diff` (no third-party action) to list changed `.md` files between the base ref and HEAD, excluding deleted files and paths under `.github/`
+- Copies only those changed files from the workspace into `base/`, then runs the link checker so relative links resolve correctly
+- Config and scripts are always taken from `base/` (the base branch), not from the PR
+- Checks out the **base branch** into `base/` (used for config and for `format_lint_output.py`)
+- Checks out the **PR head** into the workspace root
+- Uses inline `git diff` to list changed `.md` files (excluding deleted files and `.github/`), then runs `markdownlint-cli2` only on those files
+- Uses `format_lint_output.py` from `base/.github/workflows/scripts/` to format output for PR comments
+- Config and scripts are always taken from `base/` (the base branch), not from the PR
+This workflow:
+- Checks out the **base branch** into `base/` (used for config)
+- Checks out the **PR head** into the workspace root
+- Uses inline `git diff` to list changed `.md` files (excluding deleted files and `.github/`), then runs textlint only on those files
+- Config is always taken from `base/` (the base branch), not from the PR
+        ref: ${{ github.base_ref || 'master' }}
+    - name: Checkout PR
+      if: github.event_name == 'pull_request'
+      uses: actions/checkout@de0fac2e4500dabe0009e67214ff5f5447ce83dd # v6
+      with:
+        ref: ${{ github.event.pull_request.head.sha }}
+        # Copy changed files from workspace (PR checkout) to base/ to check them with correct relative link resolution
+            cp ""$FILE"" ""base/$FILE""
+        ref: ${{ github.base_ref || 'master' }}
+    - name: Checkout PR
+      uses: actions/checkout@de0fac2e4500dabe0009e67214ff5f5447ce83dd # v6
+      with:
+        ref: ${{ github.event.pull_request.head.sha }}
+            OUTPUT=""$(markdownlint-cli2 ""$FILE"" --config base/.github/configs/.markdownlint.json 2>&1)"" || STATUS=$?
+              printf '%s\n' ""$OUTPUT"" | tee -a lint.txt
+        ref: ${{ github.base_ref || 'master' }}
+    - name: Checkout PR
+      uses: actions/checkout@de0fac2e4500dabe0009e67214ff5f5447ce83dd # v6
+      with:
+        ref: ${{ github.event.pull_request.head.sha }}
+        for FILE in $FILES; do echo ""$FILE"" | grep -v \.github && textlint --config base/.github/configs/.textlintrc --fix --rule terminology ""$FILE"" | tee -a log.txt; done",0,Noise / Non-knowledge
9f4b118c81777752a387c29956ee36f338732738,Update 07-Test_HTTP_Strict_Transport_Security.md (#1082),"+The HTTP Strict Transport Security (HSTS) feature enables a web server to inform the user's browser, via a special response header, that it should never establish an unencrypted HTTP connection to the specified domain servers. Instead, it should automatically establish all connection requests to access the site through HTTPS. This also prevents users from overriding certificate errors.
+Considering the importance of this security measure, it is prudent to verify that the site is using this HTTP header in order to ensure that all the data travels encrypted between the web browser and the server.
+The HTTP strict transport security header uses three specific directives:
+    - While this is supported by all the major browsers, it is not an official part of the specification. (See [hstspreload.org](https://hstspreload.org/) for more information.)
+The presence of this header must be checked, as its absence could lead to security issues such as:
+- Attackers intercepting and accessing the information transferred over an unencrypted network channel.
+- Attackers carrying out manipulator-in-the-middle (MITM) attacks by taking advantage of users who accept untrusted certificates.
+- Users who mistakenly enter an address in the browser using HTTP instead of HTTPS, or users who click on a link in a web application that incorrectly uses the HTTP protocol.
+- Confirm the presence of the HSTS header by examining the server's response through an intercepting proxy.
+- Use curl as follows:
+$ curl -s -D- https://owasp.org | grep -i strict-transport-security:",1,Security Knowledge
a9ed1a9bb17954c9f042ecbb8cfa330c6686678f,Update build-checklists.yml (#1014),+    - name: Set XLSX Publishing Secrets,0,Noise / Non-knowledge
234f8594442566b7bd1f81ec7664358b3cdcbc43,wf: relocate permissions from workflows to jobs (#1271),"+  permissions:
+    contents: read
+  permissions:
+    contents: read
+  permissions:
+    contents: read
+    pull-requests: write",0,Noise / Non-knowledge
181225731c3f68d030f3a63c3979cccee3b15142,Clarify UI Misrepresentation / Content Spoofing under application misuse (#1277),"+### UI Misrepresentation / Content Spoofing
+
+UI misrepresentation occurs when user-controlled input is rendered in trusted UI elements in a way that can mislead users or administrators, without requiring script execution. Unlike cross-site scripting, these issues rely on visual or contextual deception and can enable workflow abuse or social engineering within the application.
+
+These issues represent application misuse because they abuse legitimate UI workflows and trust boundaries rather than exploiting a technical vulnerability.
+
+Common examples include:
+
+- User-controlled filenames, titles, or labels displayed as system-generated messages
+- Renamed file uploads that appear as trusted documents or system artifacts
+- User-supplied text rendered as approval states, sender names, or workflow indicators
+
+For example: an application allows users to name uploaded files. An attacker uploads a file named
+""Payment Approved – Finance System"". When this filename is displayed in an administrative
+review workflow without clear indication that it is user-supplied, reviewers may be misled
+into approving a fraudulent process.
+
+During testing, assess whether:
+
+- User-controlled data is reflected in privileged or authoritative UI contexts
+- Injected text can mimic system messages, workflow states, or trusted labels
+- UI presentation could influence user decisions or business processes despite no technical exploit occurring
+",1,Security Knowledge
ee86d9f0fe2371f7df081709bd9a3e7e1cbba39a,Create 4.12.13 Testing for Cross Site Script Inclusion (XSSI)(OTG-CLIENT-013).md,"+# Summary
+
+Cross Site Script Inclusion (XSSI) vulnerability allows sensitive data leakage across-origin or cross-domain boundaries. Sensitive data could include authentication related data (login states, cookies, auth tokens, session IDs, etc.), user personal or sensitive personal data (email addresses, phone numbers, credit card details, social security numbers, etc.). XSSI is a client-side attack similar to Cross Site Request Forgery (CSRF) but they have a different purpose: CSRF uses the authenticated user context to execute certain state-changing actions inside a victim’s page (eg. transfer money to the attacker's account, modify privileges, reset password, etc.) and an XSSI attack uses a malicious webpage to leak sensitive data from authenticated sessions.
+
+By default websites are only allowed to access data if they are from the same origin. This is a key application security principle and governed by the same-origin policy (defined by RFC 6454 [1]). An origin is defined as the combination of URI scheme (http/https), host name, and port number. However, this policy is bypassed/not appliable for <SCRIPT> HTML tag inclusions. This exception is necessary, without it websites and services would not be able to consume third party services, traffic analysis or advertisement platforms, etc.
+
+When the browser opens a website the <SCRIPT> resources are fetched from the cross-origin domain and they run in the same context as the including site/browser which presents the opportunity to leak sensitive data. This is in most cases JavaScript however it doesn't have to be a JavaScript file or be served with text/javascript or .js extension. Some browsers are lenient and only block it if it is served with an image type (image/), a video type (video/), an audio (audio/*) type, or text/csv [10].
+
+Old browser version vulnerabilities (IE9/10) allowed data leakage via JavaScript error messages at runtime but those vulnerabilties have now been patched by vendors and are considered not relevant. By setting the charset attribute of the <SCRIPT> tag the attacker/tester can enforce UTF-16 encoding which allows data leakage for other data formats (eg JSON). If you want to learn more about these please read Takeshi Terada: Identifier based XSSI attacks MBSD Technical Whitepaper [8].
+
+The following XSSI vulnerability cases will be discussed:
+
+1. Leak sensitive data via global variables
+2. Leak sensitive data via global function parameters
+3. Leak sensitive data via non-JavaScript resource - CSV with quotations theft
+4. Leak sensitive data via JavaScript runtime errors
+
+## Example - Leak sensitive data via global variables
+## Example - Leak sensitive data via global function parameters
+## Example - Leak sensitive data via JavaScript runtime errors
+## How to Test
+### Black Box Testing
+### Gray Box Testing
+# Remediation
+# References
+# Tools",1,Security Knowledge
